iter	Passed	Remaining
0	19	196464
1	39	195440
2	58	193284
3	79	198079
4	98	197047
5	117	196297
6	148	212181
7	179	224257
8	205	228264
9	238	238241
10	281	255444
11	311	259521
12	339	261042
13	366	261518
14	385	256819
15	405	253267
16	424	249433
17	447	247965
18	466	245004
19	494	246879
20	522	248129
21	551	250265
22	581	252052
23	606	252078
24	632	252182
25	658	252762
26	685	253318
27	712	253769
28	743	255598
29	777	258319
30	807	259691
31	841	262101
32	869	262735
33	896	262690
34	916	260897
35	935	258789
36	953	256775
37	972	254977
38	991	253239
39	1011	251847
40	1030	250422
41	1049	248874
42	1068	247349
43	1086	245799
44	1104	244330
45	1124	243296
46	1145	242515
47	1163	241331
48	1182	240197
49	1200	238935
50	1221	238192
51	1240	237279
52	1259	236342
53	1278	235447
54	1297	234657
55	1316	233772
56	1334	232864
57	1354	232256
58	1372	231256
59	1391	230527
60	1410	229793
61	1429	229097
62	1448	228540
63	1467	227764
64	1489	227739
65	1510	227302
66	1528	226648
67	1547	226043
68	1566	225456
69	1584	224757
70	1603	224304
71	1623	223848
72	1642	223365
73	1659	222640
74	1680	222336
75	1699	221860
76	1717	221329
77	1735	220824
78	1754	220381
79	1772	219799
80	1791	219426
81	1810	218937
82	1829	218609
83	1848	218267
84	1867	217881
85	1887	217540
86	1906	217183
87	1925	216839
88	1944	216593
89	1964	216366
90	1983	216018
91	2003	215803
92	2022	215421
93	2042	215232
94	2062	215051
95	2082	214870
96	2101	214549
97	2119	214144
98	2140	214063
99	2159	213824
100	2178	213511
101	2199	213394
102	2217	213117
103	2235	212745
104	2254	212448
105	2273	212161
106	2292	211957
107	2311	211728
108	2330	211458
109	2349	211234
110	2367	210916
111	2386	210652
112	2404	210383
113	2423	210177
114	2442	209984
115	2461	209764
116	2482	209693
117	2502	209591
118	2521	209407
119	2540	209137
120	2560	209013
121	2580	208960
122	2600	208834
123	2621	208777
124	2641	208661
125	2660	208511
126	2680	208406
127	2700	208241
128	2719	208057
129	2740	208045
130	2759	207856
131	2778	207739
132	2797	207571
