iter	RMSE
0	3.078907056
1	3.0669014
2	3.055787546
3	3.044555471
4	3.033635933
5	3.023634244
6	3.012943437
7	3.00152339
8	2.993379964
9	2.983311055
10	2.971986699
11	2.961946755
12	2.952214517
13	2.942181898
14	2.933174636
15	2.923379564
16	2.913855557
17	2.904131671
18	2.894182509
19	2.885798997
20	2.876380022
21	2.866327411
22	2.858705047
23	2.851941185
24	2.844400225
25	2.838404244
26	2.830346569
27	2.823114175
28	2.816221781
29	2.807729263
30	2.798972238
31	2.791275534
32	2.785379548
33	2.778407436
34	2.771233117
35	2.763137541
36	2.756891345
37	2.751280598
38	2.745088228
39	2.737977334
40	2.731864319
41	2.725488563
42	2.720993229
43	2.715931859
44	2.70909432
45	2.702718732
46	2.697108479
47	2.690083256
48	2.686454384
49	2.681296855
50	2.676595553
51	2.669857218
52	2.663338154
53	2.657107777
54	2.654195763
55	2.647362047
56	2.643187841
57	2.638522326
58	2.632923173
59	2.626663103
60	2.626337428
61	2.622751068
62	2.618257047
63	2.614217802
64	2.609365347
65	2.604602051
66	2.598325574
67	2.593220798
68	2.590112057
69	2.585297696
70	2.580845827
71	2.577076813
72	2.573450566
73	2.569848817
74	2.564798772
75	2.560347226
76	2.556464665
77	2.551843574
78	2.547231881
79	2.543532786
80	2.540239539
81	2.535726101
82	2.532991231
83	2.528583514
84	2.525452989
85	2.519656939
86	2.516434999
87	2.512579358
88	2.509995698
89	2.506046894
90	2.502835108
91	2.498904005
92	2.494860767
93	2.491271791
94	2.489710624
95	2.487440588
96	2.484529532
97	2.481480631
98	2.477851939
99	2.473339439
100	2.470368195
101	2.46719212
102	2.464032991
103	2.460901508
104	2.457702222
105	2.454550909
106	2.453600599
107	2.450764766
108	2.447310302
109	2.445777414
110	2.442835502
111	2.440190339
112	2.436852318
113	2.433616564
114	2.43056028
115	2.42761389
116	2.424626959
117	2.421817843
118	2.419762314
119	2.416427185
120	2.414009507
121	2.411611626
122	2.409153226
123	2.407755031
124	2.404830369
125	2.401811889
126	2.400011327
127	2.397623185
128	2.395745222
129	2.391557508
130	2.389023937
131	2.386189134
132	2.384452646
133	2.382561299
134	2.380553222
135	2.37768997
136	2.375413632
137	2.373481397
138	2.37175778
139	2.368975675
140	2.366185082
141	2.363505177
142	2.362057204
143	2.360027424
144	2.357887672
145	2.355708612
146	2.353378827
147	2.352006958
148	2.349657311
149	2.347866614
150	2.344777245
151	2.342666524
152	2.341990525
153	2.339463837
154	2.337659373
155	2.336734222
156	2.334811297
157	2.33313721
158	2.331291608
159	2.327936834
160	2.326493767
161	2.324407035
162	2.322275829
163	2.319909412
164	2.317508542
165	2.315340615
166	2.313316579
167	2.311648887
168	2.309907904
169	2.308650584
170	2.306668137
171	2.305533632
172	2.304017499
173	2.302593598
174	2.300761454
175	2.29980651
176	2.298482807
177	2.29482714
178	2.293444745
179	2.290280484
180	2.288478975
181	2.28752007
182	2.28569492
183	2.283670015
184	2.281843534
185	2.28091552
186	2.278856224
187	2.277851642
188	2.276481196
189	2.27331121
190	2.27143235
191	2.26914666
192	2.266659977
193	2.265042156
194	2.264014128
195	2.262666113
196	2.261160247
197	2.260373254
198	2.258627896
199	2.255163254
200	2.254265363
201	2.253183111
202	2.25006982
203	2.24833972
204	2.244488556
205	2.241261068
206	2.239760347
207	2.236942316
208	2.234254357
209	2.233231086
210	2.23075339
211	2.229526772
212	2.228093818
213	2.226349325
214	2.224892865
215	2.223653196
216	2.221888211
217	2.218678342
218	2.217251674
219	2.214320369
220	2.21122998
221	2.209822115
222	2.208298424
223	2.20700211
224	2.205873709
225	2.203620918
226	2.202494802
227	2.199600818
228	2.198931666
229	2.19630164
230	2.19491039
231	2.19339967
232	2.191540524
233	2.190408248
234	2.189277321
235	2.188070362
236	2.185295425
237	2.182732984
238	2.180247332
239	2.177728257
240	2.175809758
241	2.174017085
242	2.172982652
243	2.172374839
244	2.170075304
245	2.168921567
246	2.166759186
247	2.165461577
248	2.164471925
249	2.161754153
250	2.159893629
251	2.157200757
252	2.155500369
253	2.153336001
254	2.151264829
255	2.149983736
256	2.149111674
257	2.147899959
258	2.146515254
259	2.145087686
260	2.143409263
261	2.141839723
262	2.139911978
263	2.137287351
264	2.135556458
265	2.134453643
266	2.133314795
267	2.131352501
268	2.130519308
269	2.129851906
270	2.12820687
271	2.126955025
272	2.124804425
273	2.123868654
274	2.122394901
275	2.120504052
276	2.118581863
277	2.117795395
278	2.115725383
279	2.113681447
280	2.111186305
281	2.10935209
282	2.107259024
283	2.104832678
284	2.102411926
285	2.100545157
286	2.099304578
287	2.097653862
288	2.096174018
289	2.094689136
290	2.093115012
291	2.091586874
292	2.090100831
293	2.089490757
294	2.088350894
295	2.086968591
296	2.08534149
297	2.083386831
298	2.081768196
299	2.080031182
300	2.07766168
301	2.076502815
302	2.074708851
303	2.072915574
