Butter,81.11,0.06,717,0.85
Butter oil,99.48,0,876,0.28
Cheese,28.74,0.5,353,21.4
Cheese food,24.46,0,331,19.66
Cheese spread,21.23,7.32,290,16.41
Cream,10.39,4.13,123,3.13
Eggnog,4.19,8.05,88,4.55
Sour dressing,16.57,4.68,178,3.25
Milk,3.46,0,63,3.33
Cream substitute,9.97,11.38,136,1
Dessert topping,39.92,52.54,577,4.9
Sour cream,19.52,6.63,208,2.4
Milk substitutes,3.41,0,61,1.75
Milk shakes,2.7,20.85,119,3.05
Whey,0.09,5.12,24,0.76
Yogurt,3.25,4.66,61,3.47
Egg,9.51,0.37,143,12.56
Egg substitute,13,21.8,444,55.5
Cheese substitute,12.22,23.67,248,11.47
Cheese sauce,14.92,0.19,197,10.33
USDA Commodity,18.3,0.58,282,27.2
Parmesan cheese topping,5,1.5,370,40
KRAFT CHEEZ WHIZ Pasteurized Process Cheese Sauce,21,6.7,276,12
KRAFT CHEEZ WHIZ LIGHT Pasteurized Process Cheese Product,9.5,8.2,215,16.3
KRAFT FREE Singles American Nonfat Pasteurized Process Cheese Product,1,6.7,148,22.7
KRAFT VELVEETA Pasteurized Process Cheese Spread,22,8.1,303,16.3
KRAFT VELVEETA LIGHT Reduced Fat Pasteurized Process Cheese Product,10.6,8.5,222,19.6
KRAFT BREAKSTONE'S Reduced Fat Sour Cream,12,6.4,152,4.5
KRAFT BREAKSTONE'S FREE Fat Free Sour Cream,1.3,7.2,91,4.7
Reddi Wip Fat Free Whipped Topping,5,16,149,3
Egg Mix,34.5,2.46,555,35.6
Cheese product,14.1,8.02,240,17.6
Protein supplement,17.14,5.71,411,45.71
Dulce de Leche,7.35,49.74,315,6.84
Ice cream,13,21.16,222,4.1
Ice cream sandwich,8.57,18.57,237,4.29
Ice cream cookie sandwich,7.4,21.3,240,3.7
Ice cream cone,21.88,25,354,5.21
Fat free ice cream,0,8.82,129,4.41
Milk dessert bar,1.47,22.06,147,4.41
Nutritional supplement for people with diabetes,3.08,2.64,88,4.4
Ice cream bar,25.26,21.05,358,2.11
Kefir,0.93,4.61,41,3.79
Ice cream sundae cone,14,21.26,254,3
Light ice cream,3.08,18.46,165,1.54
Spices,8.69,0,263,6.09
Basil,0.64,0.3,23,3.15
Dill weed,1.12,0,43,3.46
Mustard,3.34,0.92,60,3.74
Salt,0,0,0,0
Vinegar,0,0.4,21,0
Thyme,1.68,0,101,5.56
Vanilla extract,0.06,12.65,288,0.06
Capers,0.86,0.41,23,2.36
Horseradish,0.69,7.99,48,1.18
Rosemary,5.86,0,131,3.31
Peppermint,0.94,0,70,3.75
Spearmint,0.73,0,44,3.29
PACE,0,18.76,188,0
Seasoning mix,0,0,0,0
Fat,100,0,902,0
Lard,100,0,902,0
Salad dressing,26.18,17.68,355,0.69
Sandwich spread,34,15.18,389,0.9
Shortening,100,0,884,0
Oil,100,0,884,0
Vegetable oil,100,0,862,0
Shortening bread,100,0,884,0
Shortening cake mix,100,0,884,0
Shortening industrial,100,0,900,0
Shortening frying (heavy duty),100,0,900,0
Shortening confectionery,100,0,884,0
Shortening household soybean (hydrogenated) and palm,100,0,884,0
Margarine-like,80.32,0,727,0.31
Fish oil,100,0,902,0
Meat drippings (lard,98.59,0,889,0
Animal fat,99.5,0,897,0
Margarine,80.2,0,714,1.9
USDA Commodity Food,100,0,884,0
Margarine-like spread,38.71,0,357,0
Salad Dressing,34.18,5.38,333,1.53
Dressing,1.47,17.75,169,1.07
Mayonnaise,40,0,361,0.37
Chicken,3.57,0,144,28.04
Canada Goose,4.02,0,133,24.31
Duck,39.34,0,404,11.49
Goose,33.62,0,371,15.86
Turkey,5.09,0,124,18.18
Turkey from whole,6.04,0,125,16.51
Pate de foie gras,43.84,0,462,11.4
Turkey and gravy,2.63,0,67,5.88
Turkey breast,3.46,0,126,22.16
Turkey thigh,8.54,0,157,18.8
Turkey roast,2.2,0,120,17.6
Turkey sticks,16.9,0,279,14.2
Poultry,24.73,0,272,11.39
Ground turkey,7.66,0,148,19.66
Chicken patty,20.04,0,292,14.33
Chicken breast tenders,12.89,0,252,16.35
USDA Commodity Chicken,5.72,0,162,27.52
Ruffed Grouse,0.88,0,112,25.94
Sausage,17.2,2.35,230,15.27
Blood sausage,34.5,1.29,379,14.6
Bockwurst,25.87,1.33,301,14.03
Bologna,26.13,2.05,299,10.91
Bratwurst,29.18,0,333,13.72
Braunschweiger (a liver sausage),28.5,0,327,14.5
Brotwurst,27.8,2.98,323,14.3
Cheesefurter,29,1.51,328,14.1
Chicken spread,17.56,0.47,158,18.01
Chorizo,38.27,0,455,24.1
Corned beef loaf,6.1,0,153,22.9
Dutch brand loaf,22.91,0.9,273,12
Frankfurter,28.3,1.31,316,11.16
Ham,18.83,0,239,16.06
Ham salad spread,15.53,0,216,8.68
Ham and cheese loaf or roll,18.7,0,241,13.6
Ham and cheese spread,18.53,0,245,16.18
Headcheese,10.9,0,157,13.83
Knackwurst,27.7,0,307,11.1
Lebanon bologna,10.44,0,172,19.03
Liver cheese,25.6,0,304,15.2
Liver sausage,28.5,0,326,14.1
Roast beef,3.69,0.29,115,18.62
Luncheon meat,30.3,0,334,12.5
Mortadella,25.39,0,311,16.37
Olive loaf,16.5,0,235,11.8
Pastrami,6.21,3.34,139,16.3
Pate,13.1,0,201,13.45
Peppered loaf,6.37,4.61,149,17.3
Pepperoni,46.28,0,504,19.25
Pickle and pimiento loaf,15.95,8.46,225,11.23
Polish sausage,28.72,0,326,14.1
Luxury loaf,4.8,0,141,18.4
Mother's loaf,22.3,0,282,12.07
Picnic loaf,16.64,0,232,14.92
Pork sausage,24.8,0.93,288,15.39
Pork and beef sausage,36.25,0,396,13.8
Turkey sausage,10.3,0,204,17
Poultry salad sandwich spread,13.52,0,200,11.64
Salami,22.2,1.5,261,12.6
Smoked link sausage,28.23,0.94,309,11.98
Thuringer,30.43,0.85,362,17.45
Honey roll sausage,10.5,0,182,18.58
Luncheon sausage,20.9,0,260,15.38
New england brand sausage,7.58,0,161,17.27
Turkey bacon,16.93,0,226,15.94
HORMEL Pillow Pak Sliced Turkey Pepperoni,11.52,0,243,30.99
Liverwurst spread,25.45,1.65,305,12.38
Roast beef spread,16.28,0.71,223,15.27
Swisswurst,27.37,0,307,12.69
Bacon and beef sticks,44.2,0.8,517,29.1
Yachtwurst,22.6,0,268,14.8
Beerwurst,22.53,0,276,14
Chicken breast,0.39,0.2,80,16.8
Kielbasa,17.6,0,226,13.1
Oven-roasted chicken breast roll,7.65,0.43,134,14.59
Macaroni and cheese loaf,14.96,0,228,11.76
Scrapple,13.87,0.2,213,8.06
Beef sausage,37.57,0,405,15.5
Pork and turkey sausage,30.64,0,342,12.05
Meatballs,22.21,3.47,286,14.4
Bacon,20,0,253,13.33
Acerola,0.3,0,32,0.4
Acerola juice,0.3,4.5,23,0.4
Apples,0.17,10.39,52,0.26
Apple juice,0.13,9.62,46,0.1
Applesauce,0.1,9.39,42,0.17
Apricots,0.39,9.24,48,1.4
Apricot nectar,0.09,13.79,56,0.37
Avocados,14.66,0.66,160,2
Bananas,0.33,12.23,89,1.09
Blackberries,0.49,4.88,43,1.39
Blackberry juice,0.6,7.7,38,0.3
Cherries,0.73,67.15,333,1.25
Blueberries,0.33,9.96,57,0.74
Boysenberries,0.12,0,88,0.99
Breadfruit,0.23,11,103,1.07
Carambola,0.33,3.98,31,1.04
Carissa,1.3,0,62,0.5
Cherimoya,0.68,12.87,75,1.57
Crabapples,0.3,0,76,0.4
Cranberries,0.13,4.27,46,0.46
Cranberry sauce,0.15,31.75,159,0.9
Cranberry-orange relish,0.1,0,178,0.3
Currants,0.41,0,63,1.4
Custard-apple,0.6,0,101,1.7
Dates,0.39,63.35,282,2.45
Elderberries,0.5,0,73,0.66
Figs,0.3,16.26,74,0.75
Fruit cocktail,0.05,7.51,32,0.42
Fruit salad,0.07,0,30,0.35
Gooseberries,0.58,0,44,0.88
Goji berries,0.39,45.61,349,14.26
Grapefruit,0.1,6.98,32,0.63
Grapefruit juice,0.1,7.2,34,0.58
Grapes,0.47,0,57,0.81
Grape juice,0.13,14.2,60,0.37
Groundcherries,0.7,0,53,1.9
Guavas,0.95,8.92,68,2.55
Guava sauce,0.14,5.88,36,0.32
Jackfruit,0.64,19.08,95,1.72
Java-plum,0.23,0,60,0.72
